"","LHNS1_aligned.bam"
"ENSRNOG00000053785",8
"ENSRNOG00000028781",0
"ENSRNOG00000053931",0
"ENSRNOG00000064547",0
"ENSRNOG00000070838",3
"ENSRNOG00000037156",0
"ENSRNOG00000046966",0
"ENSRNOG00000066001",0
"ENSRNOG00000056494",4
"ENSRNOG00000068067",0
"ENSRNOG00000054921",0
"ENSRNOG00000064885",40
"ENSRNOG00000054561",440
"ENSRNOG00000040387",0
"ENSRNOG00000052568",0
"ENSRNOG00000070839",4
"ENSRNOG00000065383",13
"ENSRNOG00000017351",0
"ENSRNOG00000070319",0
"ENSRNOG00000065720",0
"ENSRNOG00000011306",0
"ENSRNOG00000063169",9
"ENSRNOG00000069489",20
"ENSRNOG00000019491",351
"ENSRNOG00000051974",0
"ENSRNOG00000067353",0
"ENSRNOG00000019626",1
"ENSRNOG00000064994",42
"ENSRNOG00000031381",1084
"ENSRNOG00000070650",0
"ENSRNOG00000021153",193
"ENSRNOG00000063499",2
"ENSRNOG00000068216",0
"ENSRNOG00000036246",0
"ENSRNOG00000055625",0
"ENSRNOG00000023081",0
"ENSRNOG00000065572",0
"ENSRNOG00000053871",0
"ENSRNOG00000037137",13
"ENSRNOG00000014380",88
"ENSRNOG00000031224",0
"ENSRNOG00000035472",0
"ENSRNOG00000061593",0
"ENSRNOG00000056864",0
"ENSRNOG00000065938",0
"ENSRNOG00000017150",208
"ENSRNOG00000069774",0
"ENSRNOG00000057453",0
"ENSRNOG00000070032",0
"ENSRNOG00000015168",0
"ENSRNOG00000063014",54
"ENSRNOG00000022308",2
"ENSRNOG00000069196",0
"ENSRNOG00000020517",40
"ENSRNOG00000062805",0
"ENSRNOG00000057697",1
"ENSRNOG00000040448",1
"ENSRNOG00000060169",0
"ENSRNOG00000015717",6
"ENSRNOG00000015914",1744
"ENSRNOG00000068371",5
"ENSRNOG00000019141",0
"ENSRNOG00000035477",0
"ENSRNOG00000070492",0
"ENSRNOG00000067799",240
"ENSRNOG00000065673",0
"ENSRNOG00000049297",0
"ENSRNOG00000062842",0
"ENSRNOG00000016964",0
"ENSRNOG00000062738",0
"ENSRNOG00000040350",0
"ENSRNOG00000019582",455
"ENSRNOG00000055924",0
"ENSRNOG00000060840",0
"ENSRNOG00000019440",1
"ENSRNOG00000053539",0
"ENSRNOG00000064213",0
"ENSRNOG00000065361",3
"ENSRNOG00000060727",0
"ENSRNOG00000051483",0
"ENSRNOG00000036711",0
"ENSRNOG00000013149",234
"ENSRNOG00000036588",10
"ENSRNOG00000016979",0
"ENSRNOG00000019660",1
"ENSRNOG00000069238",0
"ENSRNOG00000057399",0
"ENSRNOG00000059980",0
"ENSRNOG00000067431",8
"ENSRNOG00000018048",372
"ENSRNOG00000062528",0
"ENSRNOG00000066334",1
"ENSRNOG00000010224",192
"ENSRNOG00000035506",0
"ENSRNOG00000067877",0
"ENSRNOG00000061439",0
"ENSRNOG00000051496",2
"ENSRNOG00000048582",0
"ENSRNOG00000066659",4
"ENSRNOG00000063596",111
"ENSRNOG00000068107",0
"ENSRNOG00000064996",0
"ENSRNOG00000064379",0
"ENSRNOG00000029043",394
"ENSRNOG00000017095",228
"ENSRNOG00000063176",0
"ENSRNOG00000067938",1
"ENSRNOG00000068714",0
"ENSRNOG00000067440",0
"ENSRNOG00000065650",0
"ENSRNOG00000061383",0
"ENSRNOG00000069476",0
"ENSRNOG00000018421",97
"ENSRNOG00000063080",0
"ENSRNOG00000019681",179
"ENSRNOG00000068965",0
"ENSRNOG00000035601",0
"ENSRNOG00000054609",3
"ENSRNOG00000064548",7
"ENSRNOG00000065353",0
"ENSRNOG00000070419",1
"ENSRNOG00000020202",148
"ENSRNOG00000017613",1465
"ENSRNOG00000054831",0
"ENSRNOG00000064633",1
"ENSRNOG00000055519",40
"ENSRNOG00000065513",0
"ENSRNOG00000067923",2
"ENSRNOG00000066038",0
"ENSRNOG00000070260",0
"ENSRNOG00000011234",170
"ENSRNOG00000042706",0
"ENSRNOG00000059930",0
"ENSRNOG00000015997",233
"ENSRNOG00000066146",0
"ENSRNOG00000064983",42
"ENSRNOG00000015773",0
"ENSRNOG00000055020",42
"ENSRNOG00000062071",35
"ENSRNOG00000069729",3
"ENSRNOG00000068544",1
"ENSRNOG00000066969",66
"ENSRNOG00000069401",0
"ENSRNOG00000032990",0
"ENSRNOG00000063602",3
"ENSRNOG00000014251",1230
"ENSRNOG00000046649",1
"ENSRNOG00000066794",1020
"ENSRNOG00000017214",2
"ENSRNOG00000067780",0
"ENSRNOG00000025539",1191
"ENSRNOG00000066862",325
"ENSRNOG00000012716",404
"ENSRNOG00000066116",0
"ENSRNOG00000063182",31
"ENSRNOG00000050922",27
"ENSRNOG00000047479",0
"ENSRNOG00000069497",49
"ENSRNOG00000016011",0
"ENSRNOG00000020014",183
"ENSRNOG00000070094",0
"ENSRNOG00000055082",3008
"ENSRNOG00000068838",4
"ENSRNOG00000019129",3
"ENSRNOG00000017960",511
"ENSRNOG00000056062",18
"ENSRNOG00000070653",0
"ENSRNOG00000064289",0
