"","rat_gene_id","rat_gene_symbol","LHNS1","LHNS2","LHNS3","IGFNS1","IGFNS2","IGFNS3","PDGFNS1","PDGFNS2","PDGFNS3"
"28641","ENSRNOG00000011956","Aktip",486,326,358,592,311,485,318,558,502
"28642","ENSRNOG00000012153","Rbl2",650,411,357,1012,614,847,915,1247,1203
"28643","ENSRNOG00000014087","Kifc3",474,279,317,227,114,344,253,420,500
"28644","ENSRNOG00000069933","LOC100910259",0,0,0,0,0,0,0,0,0
"28645","ENSRNOG00000014896","Adgrg3",0,0,0,0,0,0,0,2,0
"28646","ENSRNOG00000015438","Ces1d",0,2,1,0,2,0,1,0,0
"28647","ENSRNOG00000024212","Tent4b",319,232,296,404,258,356,339,456,420
"28648","ENSRNOG00000019020","Bbs2",256,133,144,434,201,293,276,531,400
"28649","ENSRNOG00000016643","Lpcat2",40,28,25,333,151,169,592,1087,975
"28650","ENSRNOG00000019288","Ogfod1",314,179,262,275,159,282,156,285,209
"28651","ENSRNOG00000031607","RT1-CE3",12,1,3,6,2,6,4,8,8
"28652","ENSRNOG00000054004","LOC120099018",0,0,0,0,0,0,0,0,0
"28653","ENSRNOG00000067649","LOC120099058",0,0,0,0,0,0,0,0,1
"28654","ENSRNOG00000026051","AABR07044362.1",10,9,12,8,5,13,12,16,13
"28655","ENSRNOG00000061849","LOC120099030",0,0,0,0,0,0,0,0,0
"28656","ENSRNOG00000055467","RNaseP_nuc",0,0,0,0,0,0,0,0,0
"28657","ENSRNOG00000055815","LOC120099068",0,0,0,0,0,0,0,0,0
"28658","ENSRNOG00000029386","RT1-N2",476,194,142,810,326,626,457,668,521
"28659","ENSRNOG00000054248","RNaseP_nuc",0,0,0,0,0,0,0,0,0
"28660","ENSRNOG00000052382","LOC120099047",0,0,0,6,2,1,0,2,1
"28661","ENSRNOG00000063327","LOC120099051",0,0,0,0,0,0,0,0,0
"28662","ENSRNOG00000032664","RT1-S2",4,5,0,11,2,12,2,6,3
"28663","ENSRNOG00000069465","LOC120099076",0,0,0,0,0,0,0,0,0
"28664","ENSRNOG00000025938","Lin28b",5,3,2,11,3,7,2,8,5
"28665","ENSRNOG00000053555","LOC120099066",0,0,0,0,0,0,0,0,0
"28666","ENSRNOG00000029001","RT1-O1",14,3,4,7,5,9,6,11,9
"28667","ENSRNOG00000061642","LOC120099070",0,0,0,0,0,0,0,0,0
"28668","ENSRNOG00000062845",NA,0,0,0,1,0,0,1,1,0
"28669","ENSRNOG00000064607","LOC120099032",0,0,0,0,0,0,0,0,0
"28670","ENSRNOG00000031171","Wdr46",561,260,285,466,185,492,210,423,377
"28671","ENSRNOG00000063612",NA,0,0,0,0,0,0,0,0,0
"28672","ENSRNOG00000058713","LOC120099045",1,1,1,2,2,0,0,2,0
"28673","ENSRNOG00000069910",NA,2,0,3,7,4,15,11,13,22
"28674","ENSRNOG00000053255","LOC120099053",0,0,0,0,0,0,0,0,0
"28675","ENSRNOG00000000473","Pfdn6",105,45,43,108,33,122,79,143,129
"28676","ENSRNOG00000071179","LOC120099043",0,0,0,0,0,0,0,0,0
"28677","ENSRNOG00000061396","LOC120099025",0,0,0,1,0,0,0,1,1
"28678","ENSRNOG00000053858","RNaseP_nuc",0,0,0,0,0,0,0,0,0
"28679","ENSRNOG00000000795","RT1-N3",160,81,79,306,144,318,171,270,216
"28680","ENSRNOG00000057209","LOC120099031",0,0,0,0,0,0,0,0,0
"28681","ENSRNOG00000056074","LOC120099024",0,0,0,0,0,0,0,0,0
"28682","ENSRNOG00000026519","Pkm-ps20",0,3,0,1,1,1,1,2,0
